
  1   1952 Tau  5 31.5 +21 59   6x 4  8.5 NG [yri{issumu                      
  2   7089 Aqr 21 30.9 -01 03   8     6.5 CG                                  
  3   5272 CVn 13 39.9 +28 38  10     6.5 CG                                  
  4   6121 Sco 16 20.6 -26 24  14     6.5 CG                                  
  5   5904 Ser 15 16.0 +02 16  13     6.0 CG                                  
  6   6405 Sco 17 36.8 -32 11  25     5.5 CO                                  
  7   6475 Sco 17 50.7 -34 48  60     3.0 CO                                  
  8   6523 Sgr 18 01.6 -24 20  60x35  6.5 NG Laguunisumu                      
  9   6333 Oph 17 16.2 -18 28   2     7.5 CG                                  
 10   6254 Oph 16 54.5 -04 02   8     6.5 CG                                  
 11   6705 Sct 18 48.4 -06 20  10     6.5 CO Villihanhi                       
 12   6218 Oph 16 44.7 -01 52   9     6.5 CG                                  
 13   6205 Her 16 39.9 +36 33  10     5.5 CG Herkuleen pallomainen t{htijoukko
 14   6405 Oph 17 35.0 -03 13   3     7.5 CG                                  
 15   7078 Peg 21 27.6 +11 57   7     6.0 CG                                  
 16   6611 Ser 18 16.0 -13 48  25     6.5 CO                                  
 17   6618 Sgr 18 17.9 -16 12  22     7.5 NG Omega-sumu                       
 18   6613 Sgr 18 17.0 -17 09  12     7.5 CO                                  
 19   6273 Oph 16 59.5 -26 11   4     6.5 CG                                  
 20   6514 Sgr 17 58.9 -23 02  29x27  7.0 NG Trifid-sumu                      
 21   6531 Sgr 18 01.8 -22 30  10     6.5 CO                                  
 22   6656 Sgr 18 33.3 -23 58  17     6.0 CG                                  
 23   6494 Sgr 17 54.0 -19 01  25     7.0 CO                                  
 24   6603 Sgr 18 15.2 -18 27   4     4.5 CO                                  
 25 I 4725 Sgr 18 28.8 -19 17  40     6.5 CO                                  
 26   6694 Sct 18 42.5 -09 27   9     9.5 CO                                  
 27   6853 Vul 19 57.4 +22 35   8x 4  7.5 NP Nostopainosumu                   
 28   6626 Sgr 18 21.5 -24 54   5     7.5 CG                                  
 29   6913 Cyg 20 22.2 +38 21  12     7.0 CO                                  
 30   7099 Cap 21 37.5 -23 25   6     8.5 CG                                  
 31    224 And  0 40   +41    160x35  4.5 GS Andromedan galaksi               
 32    221 And  0 40.0 +40 36   3     8.5 GE                                  
 33    598 Tri  1 31.1 +30 24  65x35  6.5 GS Kolmion galaksi                  
 34   1039 Per  2 38.8 +42 34  18     5.5 CO                                  
 35   2168 Gem  6 05.7 +24 20  40     5.5 CO                                  
 36   1960 Aur  5 32.0 +34 07  12     6.5 CO                                  
 37   2099 Aur  5 49.0 +32 33  20     6.0 CO                                  
 38   1912 Aur  5 25.3 +35 48  20     7.5 CO                                  
 39   7092 Cyg 21 30.4 +48 13  30     5.0 CO                                  
 40        UMa 12 20.0 +58 22   1     9.0 S2 Winnecke 4                       
 41   2287 CMa  6 44.9 -20 42  30     5.0 CO                                  
 42   1976 Ori  5 32.9 -05 25  60     5.0 NG Orionin kaasusumu                
 43   1982 Ori  5 33.1 -05 18  20x15  9.0 NG                                  
 44   2632 Cnc  8 37.5 +19 52  95     4.0 CO Praesepe                         
